Name,Category,ticker
MHB [s],"Energy, Infrastructure, Equipment & Services",5186.KL
OSK,Property,5053.KL
AMTEL [s],Telecommunications Equipment,7031.KL
TASCO [s],Transportation & Logistics Services,5140.KL
SHL,Property,6017.KL
IRIS [s],Software,10.KL
JKGLAND [s],Property,6769.KL
RHONEMA,Agricultural Products,5278.KL
IBRACO [s],Property,5084.KL
FM [s],Transportation & Logistics Services,7210.KL
INNATURE [s],Personal Goods,5295.KL
ELKDESA,Other Financials,5228.KL
MCEMENT [s],Building Materials,3794.KL
TENAGA [s],Electricity,5347.KL
YLI [s],Metals,7014.KL
RANHILL [s],"Gas, Water & Multi-Utilities",5272.KL
KLCC [s],Real Estate Investment Trusts,5235SS.KL
DSR [s],Plantation,3055.KL
QES [s],"Industrial Materials, Components & Equipment",196.KL
HSSEB [s],Industrial Engineering,185.KL
BIMB [s],Banking,5258.KL
EPB [s],Industrial Services,317.KL
AEON [s],Retailers,6599.KL
YSPSAH [s],Pharmaceuticals,7178.KL
MTAG [s],Industrial Services,213.KL
PANSAR,Building Materials,8419.KL
AXREIT [s],Real Estate Investment Trusts,5106.KL
TGUAN [s],Packaging Materials,7034.KL
NHFATT [s],Automotive,7060.KL
UNIMECH [s],"Industrial Materials, Components & Equipment",7091.KL
KAWAN [s],Food & Beverages,7216.KL
SCOMNET [s],Health Care Equipment & Services,1.KL
HSPLANT [s],Plantation,5138.KL
CLMT,Real Estate Investment Trusts,5180.KL
MARCO,Personal Goods,3514.KL
EDELTEQ [s],Technology Equipment,278.KL
SWIFT [s],Transportation & Logistics Services,5303.KL
PLYTEC [s],Industrial Services,289.KL
SEB,Industrial Engineering,5163.KL
EFORCE [s],Software,65.KL
MEDIA,Media,4502.KL
VANZO [s],Personal Goods,333.KL
OCB [s],Food & Beverages,5533.KL
D&O [s],Semiconductors,7204.KL
MYTECH,Metals,7692.KL
RAPID [s],Property,7765.KL
YXPM [s],Personal Goods,250.KL
SCIPACK [s],Packaging Materials,8125.KL
SAM [s],"Industrial Materials, Components & Equipment",9822.KL
GOHUB [s],Software,311.KL
SAPIND [s],Auto Parts,7811.KL
HAPSENG,Diversified Industrials,3034.KL
TECHBND [s],Chemicals,5289.KL
AUMAS [s],Metals,98.KL
WEGMANS [s],Houshold Goods,197.KL
LUXCHEM,Chemicals,5143.KL
KJTS [s],Industrial Services,293.KL
DYNAMIC,Software,3058.KL
KENANGA,Other Financials,6483.KL
NOVA [s],Pharmaceuticals,201.KL
MISC [s],Transportation & Logistics Services,3816.KL
KEINHIN [s],Metals,7199.KL
JPG [s],Plantation,5323.KL
JAYCORP [s],Houshold Goods,7152.KL
